Nome,Arquivados,Retirados,Tramitando,Aguardando,Total,Partido,Ano
LUIZ ANTÔNIO CORRÊA,0,0,0,0,0,S.PART.,2007
SORAYA SANTOS,0,0,0,0,0,PL,2007
AÉCIO NEVES,0,0,0,0,0,PSDB,2007
JOÃO ROMA,0,0,0,0,0,PRB,2007
PEDRO CUNHA LIMA,0,0,0,0,0,PSDB,2007
ALENCAR SANTANA BRAGA,0,0,0,0,0,PT,2007
MARIANA CARVALHO,0,0,0,0,0,PSDB,2007
JULIO CESAR RIBEIRO,0,0,0,0,0,PRB,2007
EDUARDO DA FONTE,1,0,4,1,6,PP,2007
BIA CAVASSA,0,0,0,0,0,PSDB,2007
DR. FREDERICO,0,0,0,0,0,PATRIOTA,2007
CARLOS GOMES,0,0,0,0,0,PRB,2007
AUREO RIBEIRO,0,0,0,0,0,SOLIDARIEDADE,2007
ÁUREA CAROLINA,0,0,0,0,0,PSOL,2007
ANDRÉ FUFUCA,0,0,0,0,0,PP,2007
RENILDO CALHEIROS,0,0,0,0,0,PCdoB,2007
DANILO CABRAL,0,0,0,0,0,PSB,2007
PROFESSORA DORINHA SEABRA REZENDE,0,0,0,0,0,DEM,2007
ARTHUR LIRA,0,0,0,0,0,PP,2007
BOSCO COSTA,0,0,0,0,0,PL,2007
DELEGADO ANTÔNIO FURTADO,0,0,0,0,0,PSL,2007
FÁBIO TRAD,0,0,0,0,0,PSD,2007
JOENIA WAPICHANA,0,0,0,0,0,REDE,2007
DR. ZACHARIAS CALIL,0,0,0,0,0,DEM,2007
EDUARDO BARBOSA,0,0,0,1,1,PSDB,2007
DIEGO ANDRADE,0,0,0,0,0,PSD,2007
DRA. SORAYA MANATO,0,0,0,0,0,PSL,2007
BRUNA FURLAN,0,0,0,0,0,PSDB,2007
DAVID MIRANDA,0,0,0,0,0,PSOL,2007
OTTO ALENCAR FILHO,0,0,0,0,0,PSD,2007
ZÉ NETO,0,0,0,0,0,PT,2007
PAULO MAGALHÃES,0,0,0,0,0,PSD,2007
JORGE BRAZ,0,0,0,0,0,PRB,2007
MIGUEL LOMBARDI,0,0,0,0,0,PL,2007
HEITOR SCHUCH,0,0,0,0,0,PSB,2007
TÚLIO GADÊLHA,0,0,0,0,0,PDT,2007
SIDNEY LEITE,0,0,0,0,0,PSD,2007
CÉLIO STUDART,0,0,0,0,0,PV,2007
BIRA DO PINDARÉ,0,0,0,0,0,PSB,2007
ANDRÉ JANONES,0,0,0,0,0,AVANTE,2007
CELINA LEÃO,0,0,0,0,0,PP,2007
ISNALDO BULHÕES JR.,0,0,0,0,0,MDB,2007
ENÉIAS REIS,0,0,0,0,0,PSL,2007
NORMA AYUB,0,0,0,0,0,DEM,2007
FELIPE RIGONI,0,0,0,0,0,PSB,2007
PASTOR SARGENTO ISIDÓRIO,0,0,0,0,0,AVANTE,2007
BENES LEOCÁDIO,0,0,0,0,0,PRB,2007
LIZIANE BAYER,0,0,0,0,0,PSB,2007
STEFANO AGUIAR,0,0,0,0,0,PSD,2007
MARCELO CALERO,0,0,0,0,0,CIDADANIA,2007
LAURIETE,0,0,0,0,0,PL,2007
GERVÁSIO MAIA,0,0,0,0,0,PSB,2007
RODRIGO COELHO,0,0,0,0,0,PSB,2007
CHIQUINHO BRAZÃO,0,0,0,0,0,AVANTE,2007
LUIZ LIMA,0,0,0,0,0,PSL,2007
ROSANA VALLE,0,0,0,0,0,PSB,2007
