Nome,Partido,UF,Tipo_de_Despesa,Valor
ANTONIO BRITO,PSD,BA,EMISSÃO BILHETE AÉREO,"R$  68225,3"
ZÉ SILVA,SOLIDARIEDADE,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  76940
MARCON,PT,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  87571,66"
JOÃO CAMPOS,PRB,GO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  63000
MÁRCIO LABRE,PSL,RJ,EMISSÃO BILHETE AÉREO,"R$  69668,66"
EXPEDITO NETTO,PSD,RO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  57500
WILSON SANTIAGO,PTB,PB,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  75000
MARÍLIA ARRAES,PT,PE,EMISSÃO BILHETE AÉREO,"R$  43692,39"
SERGIO SOUZA,MDB,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  44985,4"
JESUS SÉRGIO,PDT,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  44150
MÁRCIO BIOLCHI,MDB,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  52075,13"
MARA ROCHA,PSDB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  103710
HUGO MOTTA,PRB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  132570
ANDRÉ ABDON,PP,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  40500
ALEX MANENTE,CIDADANIA,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  110045
DARCÍSIO PERONDI,MDB,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  77500
BOHN GASS,PT,RS,EMISSÃO BILHETE AÉREO,"R$  37454,65"
DANIEL FREITAS,PSL,SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  64770
EROS BIONDINI,PROS,MG,EMISSÃO BILHETE AÉREO,"R$  51597,39"
LINCOLN PORTELA,PL,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  50600
ALEX SANTANA,PDT,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  61800
AUGUSTO COUTINHO,SOLIDARIEDADE,PE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  84999,16"
DOMINGOS SÁVIO,PSDB,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  49720,36"
ANDRÉ DE PAULA,PSD,PE,EMISSÃO BILHETE AÉREO,"R$  53967,84"
WALTER ALVES,MDB,RN,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60000
CARLOS SAMPAIO,PSDB,SP,EMISSÃO BILHETE AÉREO,"R$  108391,98"
BACELAR,PODE,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  80850
GEOVANIA DE SÁ,PSDB,SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  50314
SILVIA CRISTINA,PDT,RO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  79197,5"
CLAUDIO CAJADO,PP,BA,EMISSÃO BILHETE AÉREO,"R$  79595,4"
MÁRIO NEGROMONTE JR.,PP,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75000
ORLANDO SILVA,PCdoB,SP,EMISSÃO BILHETE AÉREO,"R$  58538,56"
GENINHO ZULIANI,DEM,SP,EMISSÃO BILHETE AÉREO,R$  49059
RAUL HENRY,MDB,PE,EMISSÃO BILHETE AÉREO,"R$  62227,97"
ROSANGELA GOMES,PRB,RJ,EMISSÃO BILHETE AÉREO,"R$  72260,21"
NEREU CRISPIM,PSL,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  63090,1"
MANUEL MARCOS,PRB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  58470
CACÁ LEÃO,PP,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  53713,33"
VITOR LIPPI,PSDB,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  58182,42"
POMPEO DE MATTOS,PDT,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  62920
TALÍRIA PETRONE,PSOL,RJ,EMISSÃO BILHETE AÉREO,"R$  73163,41"
MÁRIO HERINGER,PDT,MG,EMISSÃO BILHETE AÉREO,"R$  60928,15"
VALMIR ASSUNÇÃO,PT,BA,EMISSÃO BILHETE AÉREO,"R$  63846,2"
CARLOS HENRIQUE GAGUIM,DEM,TO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  50000
CRISTIANO VALE,PL,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  66650
ZÉ VITOR,PL,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  76000
FAUSTO PINATO,PP,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  78000
TIAGO DIMAS,SOLIDARIEDADE,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  50900
FÁBIO MITIDIERI,PSD,SE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  60000
ERIKA KOKAY,PT,DF,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  126860
PEDRO UCZAI,PT,SC,EMISSÃO BILHETE AÉREO,"R$  62368,7"
BOCA ABERTA,PROS,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  64802,65"
JUSCELINO FILHO,DEM,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  53000
PROFESSORA ROSA NEIDE,PT,MT,EMISSÃO BILHETE AÉREO,"R$  43980,98"
CAMILO CAPIBERIBE,PSB,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  53750
LEUR LOMANTO JÚNIOR,DEM,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  55903,42"
MARCELO FREIXO,PSOL,RJ,EMISSÃO BILHETE AÉREO,"R$  71974,74"
GUILHERME DERRITE,PP,SP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  78000
REGINALDO LOPES,PT,MG,EMISSÃO BILHETE AÉREO,"R$  81921,94"
PEDRO WESTPHALEN,PP,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  43200
JAQUELINE CASSOL,PP,RO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  69400
ABÍLIO SANTANA,PL,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  52907
FÁBIO HENRIQUE,PDT,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  50000
JOAQUIM PASSARINHO,PSD,PA,EMISSÃO BILHETE AÉREO,"R$  48897,25"
DIMAS FABIANO,PP,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  52750
